"filename", "language", "Rust", "Markdown", "Python", "HTML", "JavaScript", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\docs\index.html", "HTML", 0, 0, 0, 25, 0, 0, 2, 3, 30
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\docs\ising_simulation.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 66807, 0, 4418, 71225
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\docs\mq_js_bundle.js", "JavaScript", 0, 0, 0, 0, 1761, 0, 107, 217, 2085
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_calculation\src\lib.rs", "Rust", 74, 0, 0, 0, 0, 0, 0, 13, 87
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_calculation\src\main.rs", "Rust", 43, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_calculation\src\rng.rs", "Rust", 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_simulation\src\app.rs", "Rust", 177, 0, 0, 0, 0, 0, 2, 23, 202
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_simulation\src\app\real_time_data_handler.rs", "Rust", 73, 0, 0, 0, 0, 0, 0, 6, 79
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_simulation\src\app\rng.rs", "Rust", 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_simulation\src\app\texture_finder.rs", "Rust", 15, 0, 0, 0, 0, 0, 25, 7, 47
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_simulation\src\lib.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\ising_simulation\src\main.rs", "Rust", 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\low_level_render_target_handler\src\lib.rs", "Rust", 190, 0, 0, 0, 0, 0, 14, 9, 213
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\monte_carlo_lib\src\lib.rs", "Rust", 58, 0, 0, 0, 0, 0, 2, 7, 67
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\periodic_array_2d_lib\src\array_rng_interface.rs", "Rust", 4, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\periodic_array_2d_lib\src\lib.rs", "Rust", 161, 0, 0, 0, 0, 0, 3, 9, 173
"c:\Users\solof\Desktop\programming\Rust\GITHUB_PROJECTS\2d_ising_in_rust\result\plot.py", "Python", 0, 0, 71, 0, 0, 0, 0, 12, 83
"Total", "-", 865, 4, 71, 25, 1761, 66807, 156, 4737, 74426
