temp, energy_density, magnetisation, specific_heat, susceptibility
0, -1.9894497, 0.99472487, inf, inf
0.05, -1.9894497, 0.99472487, 1120.7343, 14.00918
0.1, -1.989448, 0.9947248, 280.19528, 7.0041018
0.15, -1.9894487, 0.99472463, 124.52604, 4.669596
0.2, -1.9894484, 0.9947246, 70.04589, 3.5021973
0.25, -1.9894484, 0.99472475, 44.830624, 2.801836
0.3, -1.989449, 0.9947248, 31.13151, 2.334798
0.35, -1.9894485, 0.99472475, 22.872131, 2.0012555
0.4, -1.9894497, 0.99472487, 17.511473, 1.7511475
0.45000002, -1.9894491, 0.9947248, 13.836418, 1.5565321
0.5, -1.989449, 0.99472475, 11.207188, 1.400918
0.55, -1.9894435, 0.9947237, 9.262397, 1.2734553
0.6, -1.9894385, 0.99472326, 7.783529, 1.1670573
0.65000004, -1.9894223, 0.99472076, 6.6335053, 1.0769832
0.7, -1.9893632, 0.9947114, 5.723693, 0.9988839
0.75, -1.9892735, 0.99469686, 4.9906945, 0.9307552
0.8, -1.989095, 0.99467176, 4.3956294, 0.86915284
0.85, -1.9888046, 0.99461764, 3.9023032, 0.81411994
0.90000004, -1.9883444, 0.9945403, 3.4954665, 0.76248914
0.95, -1.987697, 0.994427, 3.154389, 0.7142373
